ID,TestID,customerQty,vehicleQty,fixCost,capacityRange,processTimeRange,dueDateRange,penaltyRange,edgeWeightRange,Cost,Time,Iterations,ChromosomeQty
0,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],73.00,0.72,1001,321228
1,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],73.00,0.42,1001,320904
2,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],73.00,0.34,1001,320628
3,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],73.00,0.33,1001,320252
4,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],73.00,0.32,1001,321146
5,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],73.00,0.32,1001,321162
6,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],73.00,0.32,1001,320894
7,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],73.00,0.32,1001,320660
8,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],73.00,0.32,1001,320330
9,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],73.00,0.33,1001,320964
10,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],70.00,0.32,1001,320846
11,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],70.00,0.32,1001,320234
12,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],70.00,0.32,1001,320266
13,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],70.00,0.32,1001,320774
14,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],70.00,0.32,1001,321318
15,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],70.00,0.32,1001,320998
16,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],70.00,0.32,1001,320898
17,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],70.00,0.32,1001,321282
18,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],70.00,0.32,1001,321248
19,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],70.00,0.32,1001,320790
20,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],75.00,0.36,1001,320406
21,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],75.00,0.36,1001,319782
22,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],75.00,0.37,1001,320424
23,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],75.00,0.36,1001,320270
