ID,TestID,customerQty,vehicleQty,fixCost,capacityRange,processTimeRange,dueDateRange,penaltyRange,edgeWeightRange,Cost,Time,Iterations,ChromosomeQty
0,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.62,1001,320774
1,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.34,1001,321120
2,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.30,1001,320906
3,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.31,1001,320890
4,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.36,1001,320814
5,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.34,1001,320884
6,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.30,1001,320812
7,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.33,1001,320760
8,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.35,1001,320562
9,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.37,1001,320598
10,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.35,1001,320670
11,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.40,1001,321162
12,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.40,1001,320624
13,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.34,1001,320886
14,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.36,1001,321042
15,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.38,1001,321012
16,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.38,1001,320800
17,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.37,1001,320982
18,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.42,1001,320846
19,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.35,1001,321362
20,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.31,1001,320690
21,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.31,1001,320224
22,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.31,1001,320534
23,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.31,1001,320404
24,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.31,1001,320042
25,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.32,1001,320208
26,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.31,1001,320122
27,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.31,1001,320516
28,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.33,1001,320600
29,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.30,1001,320180
