Id,nNodes,nCustomers,nVehicles,customers,vehicles
1,10,9,4,1019,837
2,10,8,4,863,558
3,10,8,4,447,754
4,10,9,2,1019,24
5,10,7,3,953,848
6,10,7,3,431,737
7,10,8,3,1005,310
8,10,7,3,508,569
9,10,7,4,491,631
10,10,8,4,765,817
11,10,8,6,479,957
12,10,8,5,765,591
13,10,7,4,890,59
14,10,7,3,734,26
15,10,8,5,703,494
16,10,7,2,253,775
17,10,7,3,939,595
18,10,7,5,502,967
19,10,8,5,831,979
20,10,8,3,1003,396
21,10,7,4,1016,241
22,10,7,3,919,425
23,10,7,4,942,554
24,10,7,3,439,449
25,10,7,5,979,459
26,10,9,7,767,127
27,10,10,3,1023,148
28,10,7,3,890,557
29,10,7,2,1016,320
30,10,7,2,890,77
31,10,7,2,695,297
32,10,7,3,919,496
33,10,8,5,975,679
34,10,7,4,998,505
35,10,7,5,623,633
36,10,8,4,990,652
37,10,7,3,254,708
38,10,7,2,981,97
39,10,7,4,997,732
40,10,8,3,943,385
41,10,7,4,251,925
42,10,7,4,954,182
43,10,9,2,1021,48
44,10,7,4,247,327
45,10,9,6,1021,573
46,10,8,4,765,225
47,10,8,5,927,757
48,10,7,2,253,144
49,10,8,3,894,202
50,10,7,2,671,361
51,10,7,4,671,980
52,10,8,2,987,72
53,10,8,2,1014,20
54,10,8,4,763,205
55,10,8,4,1006,109
56,10,8,4,1014,459
57,10,8,4,479,167
58,10,7,5,1001,755
59,10,8,3,891,800
60,10,7,2,967,664
61,10,7,5,886,957
62,10,7,5,635,1020
63,10,9,4,1022,409
64,10,9,6,767,187
65,10,8,4,893,533
66,10,8,6,943,446
67,10,7,6,446,431
68,10,8,3,763,348
69,10,8,5,479,749
70,10,9,4,959,568
71,10,8,2,763,100
72,10,7,2,911,99
73,10,9,6,1021,251
74,10,8,3,831,180
75,10,9,6,1007,981
76,10,7,5,885,860
77,10,7,5,1001,685
78,10,9,6,991,381
79,10,9,6,991,663
80,10,7,5,446,815
81,10,7,2,1012,273
82,10,7,7,974,990
83,10,8,2,927,38
84,10,7,6,985,729
85,10,8,2,990,561
86,10,8,2,987,640
87,10,8,3,1005,539
88,10,8,3,735,43
89,10,7,6,926,923
90,10,8,6,763,254
91,10,7,5,827,990
92,10,8,3,951,331
93,10,8,5,1014,730
94,10,8,6,955,815
95,10,9,5,767,318
96,10,8,5,503,411
97,10,8,5,891,459
98,10,8,2,1018,264
99,10,7,6,702,734
100,10,7,6,859,893
101,10,8,7,1005,493
102,10,9,2,991,6
103,10,8,5,989,441
104,10,8,8,751,767
105,10,8,7,751,747
106,10,8,2,887,148
107,10,7,6,1004,876
108,10,9,6,1015,497
109,10,7,6,981,959
110,10,7,6,823,1011
111,10,9,4,1007,601
112,10,8,2,255,18
113,10,7,6,379,255
114,10,8,2,863,258
115,10,7,6,431,942
116,10,9,7,991,765
117,10,9,4,1015,102
118,10,8,7,503,255
119,10,8,6,639,1013
120,10,8,6,1014,935
121,10,8,6,891,867
122,10,9,5,959,365
123,10,8,6,893,975
124,10,8,7,989,767
125,10,7,7,995,1011
126,10,8,6,1013,502
127,10,9,4,1007,348
128,10,8,6,989,605
129,10,9,5,1019,602
130,10,9,4,959,590
131,10,9,4,1007,283
132,10,9,5,1022,559
133,10,8,7,863,799
134,10,9,4,767,657
135,10,7,7,762,767
136,10,9,4,1022,409
137,10,9,5,959,899
138,10,9,6,1021,760
139,10,7,7,463,463
140,10,9,5,895,221
141,10,7,7,1010,1022
142,10,9,3,1022,27
143,10,9,5,1007,504
144,10,9,5,959,845
145,10,9,8,767,1022
146,10,9,5,1021,740
147,10,8,7,957,893
148,10,9,5,991,902
149,10,9,6,895,979
150,10,8,7,1017,507
151,10,9,3,991,356
152,10,8,8,891,895
153,10,9,3,767,904
154,10,9,6,767,861
155,10,7,7,637,767
156,10,8,7,975,990
157,10,9,7,1022,254
158,10,7,7,997,1015
159,10,9,7,895,875
160,10,9,2,1015,73
161,10,10,6,1023,745
162,10,9,3,1015,276
163,10,9,2,1019,96
164,10,8,7,887,885
165,10,9,3,1019,896
166,10,9,7,1022,447
167,10,10,3,1023,148
168,10,9,2,1019,292
169,10,9,7,991,911
170,10,9,7,1019,887
171,10,10,4,1023,771
172,10,10,5,1023,569
173,10,9,2,1007,530
174,10,9,3,991,7
175,10,9,8,1019,1003
176,10,10,3,1023,146
177,10,8,7,1014,510
178,10,10,5,1023,241
179,10,9,3,1022,304
180,10,9,3,767,773
181,10,9,3,1007,14
182,10,10,7,1023,1012
183,10,7,7,986,1018
184,10,9,7,1022,887
185,10,9,3,511,25
186,10,10,6,1023,807
187,10,7,7,935,951
188,10,10,6,1023,111
189,10,9,7,1015,1005
190,10,10,5,1023,341
191,10,7,7,1016,1016
192,10,9,7,1022,830
193,10,10,7,1023,699
194,10,9,2,1021,288
195,10,9,2,1021,67
196,10,10,7,1023,731
197,10,10,3,1023,44
198,10,9,2,991,768
199,10,8,8,1018,1018
200,10,10,7,1023,799
201,10,10,5,1023,433
202,10,10,4,1023,228
203,10,10,6,1023,854
204,10,8,8,383,895
205,10,10,5,1023,721
206,10,10,5,1023,583
207,10,8,8,703,959
208,10,10,5,1023,905
209,10,9,8,959,831
210,10,8,8,863,1023
