Id,nNodes,nCustomers,nVehicles,customersBitSet,vehiclesBitSet,fixCost,penaltyCost
1,10,10,9,1023,991,1,1
1,10,10,9,1023,991,1,10
1,10,10,9,1023,991,1,100
1,10,10,9,1023,991,1,1000
1,10,10,9,1023,991,10,1
1,10,10,9,1023,991,10,10
1,10,10,9,1023,991,10,100
1,10,10,9,1023,991,10,1000
1,10,10,9,1023,991,100,1
1,10,10,9,1023,991,100,10
1,10,10,9,1023,991,100,100
1,10,10,9,1023,991,100,1000
1,10,10,9,1023,991,1000,1
1,10,10,9,1023,991,1000,10
1,10,10,9,1023,991,1000,100
1,10,10,9,1023,991,1000,1000
2,10,10,9,1023,1007,1,1
2,10,10,9,1023,1007,1,10
2,10,10,9,1023,1007,1,100
2,10,10,9,1023,1007,1,1000
2,10,10,9,1023,1007,10,1
2,10,10,9,1023,1007,10,10
2,10,10,9,1023,1007,10,100
2,10,10,9,1023,1007,10,1000
2,10,10,9,1023,1007,100,1
2,10,10,9,1023,1007,100,10
2,10,10,9,1023,1007,100,100
2,10,10,9,1023,1007,100,1000
2,10,10,9,1023,1007,1000,1
2,10,10,9,1023,1007,1000,10
2,10,10,9,1023,1007,1000,100
2,10,10,9,1023,1007,1000,1000
