Id,nNodes,nCustomers,nVehicles,testType,customers,vehicles
25,20,9,9,Exact,694752,1039329
25,20,9,9,0.10,694752,1039329
25,20,9,9,0.20,694752,1039329
25,20,9,9,0.50,694752,1039329
80,20,9,9,Exact,670794,1048542
80,20,9,9,0.10,670794,1048542
80,20,9,9,0.20,670794,1048542
80,20,9,9,0.50,670794,1048542
23,20,10,9,Exact,30550,522087
23,20,10,9,0.10,30550,522087
23,20,10,9,0.20,30550,522087
23,20,10,9,0.50,30550,522087
1,20,12,9,Exact,387195,369643
1,20,12,9,0.10,387195,369643
1,20,12,9,0.20,387195,369643
1,20,12,9,0.50,387195,369643
2,20,11,9,Exact,1020707,1040739
2,20,11,9,0.10,1020707,1040739
2,20,11,9,0.20,1020707,1040739
2,20,11,9,0.50,1020707,1040739
3,20,12,9,Exact,520549,1015596
3,20,12,9,0.10,520549,1015596
3,20,12,9,0.20,520549,1015596
3,20,12,9,0.50,520549,1015596
4,20,11,9,Exact,485092,1043063
4,20,11,9,0.10,485092,1043063
4,20,11,9,0.20,485092,1043063
4,20,11,9,0.50,485092,1043063
5,20,11,9,Exact,576699,785585
5,20,11,9,0.10,576699,785585
5,20,11,9,0.20,576699,785585
5,20,11,9,0.50,576699,785585
6,20,15,9,Exact,942061,995767
6,20,15,9,0.10,942061,995767
6,20,15,9,0.20,942061,995767
6,20,15,9,0.50,942061,995767
7,20,12,9,Exact,622350,97116
7,20,12,9,0.10,622350,97116
7,20,12,9,0.20,622350,97116
7,20,12,9,0.50,622350,97116
8,20,12,9,Exact,414447,420586
8,20,12,9,0.10,414447,420586
8,20,12,9,0.20,414447,420586
8,20,12,9,0.50,414447,420586
9,20,12,9,Exact,492495,1019381
9,20,12,9,0.10,492495,1019381
9,20,12,9,0.20,492495,1019381
9,20,12,9,0.50,492495,1019381
10,20,15,9,Exact,515774,899535
10,20,15,9,0.10,515774,899535
10,20,15,9,0.20,515774,899535
10,20,15,9,0.50,515774,899535
11,20,12,9,Exact,989613,687038
11,20,12,9,0.10,989613,687038
11,20,12,9,0.20,989613,687038
11,20,12,9,0.50,989613,687038
12,20,15,9,Exact,388861,349725
12,20,15,9,0.10,388861,349725
12,20,15,9,0.20,388861,349725
12,20,15,9,0.50,388861,349725
13,20,12,9,Exact,802398,540567
13,20,12,9,0.10,802398,540567
13,20,12,9,0.20,802398,540567
13,20,12,9,0.50,802398,540567
14,20,10,9,Exact,189747,454051
14,20,10,9,0.10,189747,454051
14,20,10,9,0.20,189747,454051
14,20,10,9,0.50,189747,454051
15,20,11,9,Exact,240568,1026527
15,20,11,9,0.10,240568,1026527
15,20,11,9,0.20,240568,1026527
15,20,11,9,0.50,240568,1026527
16,20,11,9,Exact,737057,982763
16,20,11,9,0.10,737057,982763
16,20,11,9,0.20,737057,982763
16,20,11,9,0.50,737057,982763
17,20,11,9,Exact,994017,1006247
17,20,11,9,0.10,994017,1006247
17,20,11,9,0.20,994017,1006247
17,20,11,9,0.50,994017,1006247
18,20,12,9,Exact,922614,324590
18,20,12,9,0.10,922614,324590
18,20,12,9,0.20,922614,324590
18,20,12,9,0.50,922614,324590
19,20,15,9,Exact,507382,1033023
19,20,15,9,0.10,507382,1033023
19,20,15,9,0.20,507382,1033023
19,20,15,9,0.50,507382,1033023
20,20,11,9,Exact,776235,1045687
20,20,11,9,0.10,776235,1045687
20,20,11,9,0.20,776235,1045687
20,20,11,9,0.50,776235,1045687
21,20,12,9,Exact,272367,467961
21,20,12,9,0.10,272367,467961
21,20,12,9,0.20,272367,467961
21,20,12,9,0.50,272367,467961
22,20,10,9,Exact,536011,925167
22,20,10,9,0.10,536011,925167
22,20,10,9,0.20,536011,925167
22,20,10,9,0.50,536011,925167
24,20,11,9,Exact,876073,360419
24,20,11,9,0.10,876073,360419
24,20,11,9,0.20,876073,360419
24,20,11,9,0.50,876073,360419
26,20,10,9,Exact,644994,916899
26,20,10,9,0.10,644994,916899
26,20,10,9,0.20,644994,916899
26,20,10,9,0.50,644994,916899
27,20,11,9,Exact,198525,223005
27,20,11,9,0.10,198525,223005
27,20,11,9,0.20,198525,223005
27,20,11,9,0.50,198525,223005
28,20,12,9,Exact,810587,851772
28,20,12,9,0.10,810587,851772
28,20,12,9,0.20,810587,851772
28,20,12,9,0.50,810587,851772
29,20,11,9,Exact,183901,980828
29,20,11,9,0.10,183901,980828
29,20,11,9,0.20,183901,980828
29,20,11,9,0.50,183901,980828
30,20,12,9,Exact,781137,1018587
30,20,12,9,0.10,781137,1018587
30,20,12,9,0.20,781137,1018587
30,20,12,9,0.50,781137,1018587
31,20,11,9,Exact,127722,913398
31,20,11,9,0.10,127722,913398
31,20,11,9,0.20,127722,913398
31,20,11,9,0.50,127722,913398
32,20,11,9,Exact,316853,55101
32,20,11,9,0.10,316853,55101
32,20,11,9,0.20,316853,55101
32,20,11,9,0.50,316853,55101
33,20,11,9,Exact,722159,1025423
33,20,11,9,0.10,722159,1025423
33,20,11,9,0.20,722159,1025423
33,20,11,9,0.50,722159,1025423
34,20,11,9,Exact,757518,765366
34,20,11,9,0.10,757518,765366
34,20,11,9,0.20,757518,765366
34,20,11,9,0.50,757518,765366
35,20,11,9,Exact,588582,684919
35,20,11,9,0.10,588582,684919
35,20,11,9,0.20,588582,684919
35,20,11,9,0.50,588582,684919
36,20,9,9,Exact,249091,519975
36,20,9,9,0.10,249091,519975
36,20,9,9,0.20,249091,519975
36,20,9,9,0.50,249091,519975
37,20,11,9,Exact,1017208,1017566
37,20,11,9,0.10,1017208,1017566
37,20,11,9,0.20,1017208,1017566
37,20,11,9,0.50,1017208,1017566
38,20,11,9,Exact,144759,784357
38,20,11,9,0.10,144759,784357
38,20,11,9,0.20,144759,784357
38,20,11,9,0.50,144759,784357
39,20,10,9,Exact,683426,1003435
39,20,10,9,0.10,683426,1003435
39,20,10,9,0.20,683426,1003435
39,20,10,9,0.50,683426,1003435
40,20,10,9,Exact,510732,781229
40,20,10,9,0.10,510732,781229
40,20,10,9,0.20,510732,781229
40,20,10,9,0.50,510732,781229
41,20,12,9,Exact,249399,752187
41,20,12,9,0.10,249399,752187
41,20,12,9,0.20,249399,752187
41,20,12,9,0.50,249399,752187
42,20,11,9,Exact,621028,904175
42,20,11,9,0.10,621028,904175
42,20,11,9,0.20,621028,904175
42,20,11,9,0.50,621028,904175
43,20,11,9,Exact,569831,668007
43,20,11,9,0.10,569831,668007
43,20,11,9,0.20,569831,668007
43,20,11,9,0.50,569831,668007
44,20,12,9,Exact,553966,909305
44,20,12,9,0.10,553966,909305
44,20,12,9,0.20,553966,909305
44,20,12,9,0.50,553966,909305
45,20,12,9,Exact,391563,433663
45,20,12,9,0.10,391563,433663
45,20,12,9,0.20,391563,433663
45,20,12,9,0.50,391563,433663
46,20,12,9,Exact,719182,700919
46,20,12,9,0.10,719182,700919
46,20,12,9,0.20,719182,700919
46,20,12,9,0.50,719182,700919
47,20,15,9,Exact,241407,202611
47,20,15,9,0.10,241407,202611
47,20,15,9,0.20,241407,202611
47,20,15,9,0.50,241407,202611
48,20,12,9,Exact,1028397,1044023
48,20,12,9,0.10,1028397,1044023
48,20,12,9,0.20,1028397,1044023
48,20,12,9,0.50,1028397,1044023
49,20,12,9,Exact,937209,780157
49,20,12,9,0.10,937209,780157
49,20,12,9,0.20,937209,780157
49,20,12,9,0.50,937209,780157
50,20,12,9,Exact,353276,388037
50,20,12,9,0.10,353276,388037
50,20,12,9,0.20,353276,388037
50,20,12,9,0.50,353276,388037
51,20,11,9,Exact,879064,1043578
51,20,11,9,0.10,879064,1043578
51,20,11,9,0.20,879064,1043578
51,20,11,9,0.50,879064,1043578
52,20,12,9,Exact,419439,418537
52,20,12,9,0.10,419439,418537
52,20,12,9,0.20,419439,418537
52,20,12,9,0.50,419439,418537
53,20,9,9,Exact,58228,714613
53,20,9,9,0.10,58228,714613
53,20,9,9,0.20,58228,714613
53,20,9,9,0.50,58228,714613
54,20,15,9,Exact,1036250,449361
54,20,15,9,0.10,1036250,449361
54,20,15,9,0.20,1036250,449361
54,20,15,9,0.50,1036250,449361
55,20,12,9,Exact,503602,384382
55,20,12,9,0.10,503602,384382
55,20,12,9,0.20,503602,384382
55,20,12,9,0.50,503602,384382
56,20,15,9,Exact,499447,866518
56,20,15,9,0.10,499447,866518
56,20,15,9,0.20,499447,866518
56,20,15,9,0.50,499447,866518
57,20,15,9,Exact,751549,628393
57,20,15,9,0.10,751549,628393
57,20,15,9,0.20,751549,628393
57,20,15,9,0.50,751549,628393
58,20,10,9,Exact,547824,490489
